runid,Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,MMWR_week,Ratio_Admin_Dist,Administered_Dose_Other,Administered_Dose_Other_Per_100K
1822,2021-01-22,AK,AKA,Alaska,731545,155500,81096,21256,11086,67262,9195,13718,1875,,,,,,,
1822,2021-01-22,AL,ALA,Alabama,4903185,519525,199314,10596,4065,174317,3555,24840,507,,,,,,,
1822,2021-01-22,AR,ARA,Arkansas,3017804,362050,201676,11997,6683,167788,5560,31600,1047,,,,,,,
1822,2021-01-22,AS,ASA,American Samoa,55689,18450,6569,33130,11796,5627,10104,940,1688,,,,,,,
1822,2021-01-22,AZ,AZA,Arizona,7278717,822050,329349,11294,4525,280227,3850,48938,672,,,,,,,
1822,2021-01-22,BP2,BP2,Bureau of Prisons,0,24750,21315,0,0,17316,0,3962,0,,,,,,,
1822,2021-01-22,CA,CAA,California,39512223,4714625,1803679,11932,4565,1477195,3739,321839,815,,,,,,,
1822,2021-01-22,CO,COA,Colorado,5758736,671200,377283,11655,6551,313217,5439,62086,1078,,,,,,,
1822,2021-01-22,CT,CTA,Connecticut,3565287,477250,287440,13386,8062,248753,6977,33149,930,,,,,,,
1822,2021-01-22,DC,DCA,District of Columbia,705749,90225,56864,12784,8057,44773,6344,12045,1707,,,,,,,
1822,2021-01-22,DD2,DD2,Dept of Defense,0,614200,292490,0,0,258285,0,28602,0,,,,,,,
1822,2021-01-22,DE,DEA,Delaware,973764,116325,54257,11946,5572,45292,4651,8847,909,,,,,,,
1822,2021-01-22,FL,FLA,Florida,21477737,2616250,1314377,12181,6120,1186719,5525,124582,580,,,,,,,
1822,2021-01-22,FM,FMA,Federated States of Micronesia,103643,9800,2514,9456,2426,2511,2423,3,3,,,,,,,
1822,2021-01-22,GA,GAA,Georgia,10617423,1235375,603486,11635,5684,533665,5026,59925,564,,,,,,,
1822,2021-01-22,GU,GUA,Guam,165768,34300,3791,20692,2287,3785,2283,0,0,,,,,,,
1822,2021-01-22,HI,HIA,Hawaii,1415872,191375,84793,13516,5989,67991,4802,16802,1187,,,,,,,
1822,2021-01-22,IA,IAA,Iowa,3155070,338950,170607,10743,5407,145642,4616,22429,711,,,,,,,
1822,2021-01-22,ID,IDA,Idaho,1787065,181100,77988,10134,4364,64295,3598,13075,732,,,,,,,
1822,2021-01-22,IH2,IH2,Indian Health Svc,0,355475,123534,0,0,103912,0,18985,0,,,,,,,
1822,2021-01-22,IL,ILA,Illinois,12671821,1209300,607502,9543,4794,479848,3787,120754,953,,,,,,,
1822,2021-01-22,IN,INA,Indiana,6732219,839925,414127,12476,6151,340055,5051,73986,1099,,,,,,,
1822,2021-01-22,KS,KSA,Kansas,2913314,336475,137094,11550,4706,116569,4001,19325,663,,,,,,,
1822,2021-01-22,KY,KYA,Kentucky,4467673,466700,254144,10446,5689,229873,5145,22568,505,,,,,,,
1822,2021-01-22,LA,LAA,Louisiana,4648794,506200,297655,10889,6403,256670,5521,40385,869,,,,,,,
1822,2021-01-22,MA,MAA,Massachusetts,6892503,854950,370627,12404,5377,318630,4623,51662,750,,,,,,,
1822,2021-01-22,MD,MDA,Maryland,6045680,722625,287512,11953,4756,256221,4238,30877,511,,,,,,,
1822,2021-01-22,ME,MEA,Maine,1344212,176400,86395,13123,6427,70193,5222,14893,1108,,,,,,,
1822,2021-01-22,MH,MHA,Marshall Islands,58413,13600,2438,23282,4174,2406,4119,2,3,,,,,,,
1822,2021-01-22,MI,MIA,Michigan,9986857,1094275,595454,10957,5962,497958,4986,92473,926,,,,,,,
1822,2021-01-22,MN,MNA,Minnesota,5639632,677100,278234,12006,4934,223957,3971,53940,956,,,,,,,
1822,2021-01-22,MO,MOA,Missouri,6137428,657700,285697,10716,4655,217597,3545,66699,1087,,,,,,,
1822,2021-01-22,MP,MPA,Northern Mariana Islands,56882,18650,7720,32787,13572,4700,8263,3016,5302,,,,,,,
1822,2021-01-22,MS,MSA,Mississippi,2976149,346400,150524,11639,5058,136902,4600,13423,451,,,,,,,
1822,2021-01-22,MT,MTA,Montana,1068778,119500,66348,11181,6208,54453,5095,11878,1111,,,,,,,
1822,2021-01-22,NC,NCA,North Carolina,10488084,1192375,524914,11369,5005,450144,4292,74427,710,,,,,,,
1822,2021-01-22,ND,NDA,North Dakota,762062,86750,64105,11384,8412,51018,6695,12428,1631,,,,,,,
1822,2021-01-22,NE,NEA,Nebraska,1934408,238100,118450,12309,6123,99571,5147,18086,935,,,,,,,
1822,2021-01-22,NH,NHA,New Hampshire,1359711,162950,85595,11984,6295,72979,5367,12575,925,,,,,,,
1822,2021-01-22,NJ,NJA,New Jersey,8882190,951875,464363,10717,5228,406494,4577,56213,633,,,,,,,
1822,2021-01-22,NM,NMA,New Mexico,2096829,248300,162045,11842,7728,130211,6210,29278,1396,,,,,,,
1822,2021-01-22,NV,NVA,Nevada,3080156,281100,126458,9126,4106,105222,3416,20345,661,,,,,,,
1822,2021-01-22,NY,NYA,New York State,19453561,2367075,1203994,12168,6189,1048453,5390,142005,730,,,,,,,
1822,2021-01-22,OH,OHA,Ohio,11689100,1222225,545499,10456,4667,500557,4282,44761,383,,,,,,,
1822,2021-01-22,OK,OKA,Oklahoma,3956971,496350,287502,12544,7266,247954,6266,37435,946,,,,,,,
1822,2021-01-22,OR,ORA,Oregon,4217737,487700,253705,11563,6015,218413,5178,34536,819,,,,,,,
1822,2021-01-22,PA,PAA,Pennsylvania,12801989,1465850,652886,11450,5100,539431,4214,112692,880,,,,,,,
1822,2021-01-22,PR,PRA,Puerto Rico,3193694,337350,161528,10563,5058,128284,4017,32181,1008,,,,,,,
1822,2021-01-22,RI,RIA,Rhode Island,1059361,136225,61974,12859,5850,49932,4713,12023,1135,,,,,,,
